Nombre;Tipo;Valoración;Localización;Ciudad;Distancia;Cercanías;Descripción
Hotel Serrano;Hotel;4 de 5;Salamanca;Madrid;a 2,1 km del centro;;El Hotel Serrano se encuentra en el barrio de Salamanca de Madrid, a 400 metros de la estación de metro Rubén Darío.
Hotel Puerta America;Hotel;5 de 5;Chamartín;Madrid;a 3,9 km del centro;;El Hotel Puerta America presenta un diseño exclusivo y vanguardista obra de arquitectos de fama mundial como Norman Foster, Jean Nouvel y Zaha Hadid.
Aparto-Hotel Rosales;Hotel;3 de 5;Moncloa - Aravaca;Madrid;a 2 km del centro;;El Aparto-Hotel Rosales está ubicado en una zona tranquila del centro de Madrid. Ofrece apartamentos confortables y habitaciones privadas con wifi gratuita. Hay recepción 24 horas.
Hotel Gran Legazpi;Hotel;3 de 5;Arganzuela;Madrid;a 2,8 km del centro;;El Hotel Gran Legazpi es un hotel económico con servicios magníficos y una ubicación práctica en los alrededores de Calle 30, una de las zonas de mayor crecimiento de Madrid. Hay WiFi gratuita.
Gran Versalles;Hotel;4 de 5;Chamberí;Madrid;a 1,4 km del centro;;El Gran Hotel Versalles está situado en una zona tranquila del centro de Madrid, junto a la estación de metro Alonso Martínez.
Hotel Praga;Hotel;4 de 5;Carabanchel;Madrid;a 2,5 km del centro;;El Hotel Praga está ubicado junto al parque Madrid Río, a unos 4 km del centro de Madrid, y ofrece alojamiento, bar y aparcamiento privado. Hay WiFi gratuita en todas las zonas.
Avenida De America Tijcal;Hotel;3 de 5;Salamanca;Madrid;a 3,5 km del centro;;Avenida De America Tijcal está a 3,4 km de Estadio Santiago Bernabéu, en Madrid, y ofrece alojamiento con aire acondicionado y wifi gratis.
Hotel Mirador Puerta del Sol;Hotel;2 de 5;Centro de Madrid;Madrid;a 100 m del centro;;El Hotel Mirador Puerta del Sol, situado a 20 metros de la famosa plaza Puerta del Sol de Madrid, ofrece habitaciones con aire acondicionado y TV.
Feelathome Ventas Suites;Hotel;3 de 5;Salamanca;Madrid;a 3,5 km del centro;;Feelathome Ventas Suites está en Madrid y dispone de vistas a la ciudad y wifi gratis a 3,5 km de Museo Thyssen-Bornemisza y a 3,6 km de Parque de El Retiro.
Principe Pio;Hotel;3 de 5;Moncloa - Aravaca;Madrid;a 1,1 km del centro;;El establecimiento Principe Pío se encuentra junto a la plaza de España, frente al Palacio Real de Madrid y los pintorescos jardines de Sabatini.
Apartamentos Recoletos;Hotel;3 de 5;Salamanca;Madrid;a 1,3 km del centro;;Estos apartamentos funcionales se encuentran justo al lado del paseo de Recoletos y ofrecen alojamiento amplio e independiente en pleno centro comercial de Madrid.
Hotel Cortezo;Hotel;3 de 5;Centro de Madrid;Madrid;a 350 m del centro;;El Hotel Cortezo, situado a 300 metros de la Puerta del Sol y de la Plaza Mayor de Madrid, cuenta con una terraza en la azotea con vistas a la ciudad.
AC Hotel Avenida de América by Marriott;Hotel;3 de 5;Salamanca;Madrid;a 3,5 km del centro;;Este hotel de estilo elegante se encuentra en el madrileño barrio de Salamanca, a 5 minutos a pie del intercambiador de transportes de Avenida de América, donde confluyen el metro y la estación de...
NH Madrid Zurbano;Hotel;4 de 5;Chamberí;Madrid;a 2,6 km del centro;;El NH Madrid Zurbano se encuentra en el barrio madrileño de Chamberí, a 100 metros del paseo de la Castellana.
4C Bravo Murillo;Hotel;2 de 5;Tetuán;Madrid;a 4,2 km del centro;;El hotel 4C Bravo Murillo está situado cerca de Cuatro Caminos, en la zona comercial de Madrid. Está muy cerca a pie del famoso estadio de fútbol Santiago Bernabéu.
1881 Madrid Ventas Hotel;Hotel;4 de 5;Ciudad Lineal;Madrid;a 4,3 km del centro;;1881 Madrid Ventas Hotel está en Madrid, a 3,9 km de Museo Thyssen-Bornemisza, y dispone de alojamiento con salón de uso común, parking privado, restaurante y bar.
Ibis Styles Madrid Airport Valdebebas;Hotel;3 de 5;Hortaleza;Madrid;a 11,3 km del centro;;Ibis Styles Madrid Airport Valdebebas dispone de piscina de temporada al aire libre, jardín, terraza y restaurante en Madrid.
Hotel Princesa Plaza Madrid;Hotel;4 de 5;Centro de Madrid;Madrid;a 1,7 km del centro;;Princesa Plaza is situated in the west of Madrid, in the Argüelles District. Some of the elegant rooms at the hotel feature a large reproduction of a famous painting from the Museo del Prado.
Hotel Chamartin The One;Hotel;4 de 5;Chamartín;Madrid;a 6,3 km del centro;;El Hotel Chamartin The One está ubicado en la estación de tren y metro de Chamartín, en el distrito financiero de Madrid, y ofrece habitaciones con aire acondicionado, WiFi gratuita y desayuno buffet....
Hotel 4C Puerta Europa;Hotel;2 de 5;Tetuán;Madrid;a 5,4 km del centro;;El Hotel 4C Puerta Europa goza de una buena ubicación en la zona de negocios de Madrid, junto a la plaza de Castilla, y está bien comunicado con el metro y la M-30.
Leonardo Boutique Hotel Madrid;Hotel;3 de 5;Chamberí;Madrid;a 2,3 km del centro;;El Leonardo Boutique Hotel Madrid está situado en el barrio madrileño de Chamberí, a 100 metros de los Teatros del Canal, en plena zona universitaria. Ofrece TV vía satélite y aparcamiento.
NH Barajas Airport;Hotel;3 de 5;Barajas;Madrid;a 10 km del centro;;El NH Barajas se encuentra a 4 km del aeropuerto de Barajas y del recinto ferial IFEMA. Además, hay WiFi gratuita en todas las instalaciones.
I'M Room Suites Nuevos Ministerios - Bernabeu 'Digital Access';Hotel;4 de 5;Tetuán;Madrid;a 3,5 km del centro;;I'M Room Suites Nuevos Ministerios - Bernabeu 'Digital Access' está muy bien situado en el barrio de Tetuán, Madrid, a 3,6 km de Gran Vía, a 3,9 km de Estación de metro Gran Vía y a 3,9 km de Estación...
Hotel Miau;Hotel;3 de 5;Centro de Madrid;Madrid;a 400 m del centro;;El Hotel Miau, un establecimiento pequeño con encanto, está ubicado en un edificio del siglo XIX de la famosa plaza de Santa Ana. Hay conexión WiFi gratuita en todas las habitaciones.
NH Madrid Balboa;Hotel;4 de 5;Salamanca;Madrid;a 2,8 km del centro;;Este hotel de diseño, situado en el distinguido barrio de Salamanca de Madrid, ofrece habitaciones elegantes con TV de pantalla plana vía satélite. Cuenta con una bonita zona de salón y bar cafetería....
AparthotelTribunal;Hotel;3 de 5;Centro de Madrid;Madrid;a 1 km del centro;;AparthotelTribunal se encuentra en el centro de Madrid, a 8 min a pie de Gran Vía y a 900 metros de Estación de metro Gran Vía, y ofrece alojamiento con wifi gratis y zona de estar.
Hotel Mexico;Hotel;2 de 5;Centro de Madrid;Madrid;a 1 km del centro;;Gestionado por un particular
Negresco Gran Via;Hotel;2 de 5;Centro de Madrid;Madrid;a 350 m del centro;;El Negresco Gran Via ofrece wifi gratuita y un centro de negocios en el centro de Madrid. Se encuentra a pocos metros de la Gran Vía y muy cerca a pie de la Puerta del Sol.
B&B HOTEL Madrid Carabanchel;Hotel;2 de 5;Carabanchel;Madrid;a 6,3 km del centro;a 6,3 km del centro;B&B HOTEL Madrid Carabanchel es un alojamiento de 2 estrellas situado en Madrid, a 7,1 km de Museo Reina Sofía y a 7,6 km de Royal Palace of Madrid.
Exe Plaza;Hotel;4 de 5;Tetuán;Madrid;a 5,7 km del centro;;El establecimiento Exe Plaza se encuentra junto a las torres Kio del paseo de la Castellana y a 2 paradas de metro del estadio Santiago Bernabéu, sede del Real Madrid.
Cálamo Guesthouse;Hotel;0 de 5;Centro de Madrid;Madrid;a 0,5 km del centro;;Cálamo Guesthouse es un alojamiento bien situado en el centro de Madrid que ofrece desayuno continental y wifi gratis.
ITC Madrid by Soho Boutique;Hotel;0 de 5;San Blas;Madrid;a 6,9 km del centro;;ITC Madrid by Soho Boutique está muy bien situado en el barrio de San Blas, Madrid, a 3,8 km de IFEMA, a 6,9 km de Estadio Santiago Bernabéu y a 7,4 km de Museo Thyssen-Bornemisza.
limehome Madrid Calle Ave María - estancia temporal;Hotel;3 de 5;Centro de Madrid;Madrid;a 0,7 km del centro;;Limehome Madrid Calle Ave María - estancia temporal está en el centro de Madrid, a 8 min a pie de Museo Reina Sofía y a 1 km de Estación de tren de Atocha, y ofrece alojamiento con wifi gratis y zona...
Ibis Styles Madrid City Las Ventas;Hotel;4 de 5;Ciudad Lineal;Madrid;a 4,8 km del centro;;Ibis Styles Madrid City Las Ventas está en Madrid, a 4 km de Estadio Santiago Bernabéu, y dispone de alojamiento con piscina de temporada al aire libre, parking privado, centro de fitness y jardín.
Vincci Soma;Hotel;4 de 5;Salamanca;Madrid;a 2,3 km del centro;;El Vincci Soma se encuentra en el centro de Madrid, junto a la estación de metro Goya. El establecimiento cuenta con gimnasio, restaurante y WiFi gratuita en todas las instalaciones.
NH Madrid Nacional;Hotel;4 de 5;Centro de Madrid;Madrid;a 1,2 km del centro;;El NH Madrid Nacional está situado en Madrid, en el famoso Triángulo del Arte de Madrid, a 150 metros de la estación de tren AVE de Atocha.
voco Madrid Retiro by IHG;Hotel;4 de 5;Retiro;Madrid;a 3 km del centro;;El hotel de diseño voco Madrid Retiro, an IHG Hotel se encuentra a 700 metros del parque del Retiro.
Zenit Conde de Orgaz;Hotel;4 de 5;Hortaleza;Madrid;a 6,5 km del centro;;Este hotel elegante está situado en el norte de Madrid, a 8 minutos en coche del centro de convenciones IFEMA.
Globales Acis y Galatea;Hotel;3 de 5;Hortaleza;Madrid;a 8,5 km del centro;;Este hotel cosmopolita está muy bien situado, a solo 5 minutos del centro de exposiciones Ifema y a 10 minutos en coche del aeropuerto y el centro de la ciudad. Ofrece WiFi gratuita.
Elba Madrid Alcalá;Hotel;4 de 5;San Blas;Madrid;a 6,6 km del centro;;El Elba Madrid Alcalá está muy bien ubicado entre el centro de la ciudad y el centro de congresos Madrid IFEMA.
NH Madrid Atocha;Hotel;3 de 5;Retiro;Madrid;a 1,5 km del centro;;El NH Madrid Atocha está enfrente a la estación de Atocha, a 5 minutos de los museos Caixa Forum y Reina Sofía. Hay WiFi gratuita.
Holiday Inn Express - Madrid - Airport by IHG;Hotel;3 de 5;San Blas;Madrid;a 13,5 km del centro;;Holiday Inn Express - Madrid - Airport by IHG tiene piscina de temporada al aire libre, centro de fitness, jardín y salón de uso común en Madrid.
NH Madrid Chamberí;Hotel;3 de 5;Chamberí;Madrid;a 2,6 km del centro;;El NH Madrid Chamberí se encuentra en el barrio madrileño de Chamberí, a 300 metros del paseo de la Castellana y a 400 metros del Museo Sorolla. Hay WiFi gratuita en todas las instalaciones del hotel....
NYX Hotel Madrid by Leonardo Hotels;Hotel;4 de 5;Tetuán;Madrid;a 3,8 km del centro;;El NYX Hotel Madrid by Leonardo Hotels se encuentra a 10 minutos a pie del estadio Bernabéu del Real Madrid y ofrece habitaciones funcionales con aire acondicionado y TV vía satélite.
Rafaelhoteles Atocha;Hotel;4 de 5;Arganzuela;Madrid;a 2,2 km del centro;;Este hotel está bien ubicado en Madrid, cerca de la estación de autobuses de Méndez Álvaro y de la estación de tren de Atocha (líneas AVE de alta velocidad).
Petit Palace Arturo Soria Alcalá;Hotel;4 de 5;Ciudad Lineal;Madrid;a 6 km del centro;;El Petit Palace Arturo Soria Alcalá se encuentra a solo 100 metros de la estación de metro Ciudad Lineal. Las habitaciones presentan una decoración sencilla y elegante.
Ibis Madrid Calle Alcalá;Hotel;1 de 5;San Blas;Madrid;a 7 km del centro;a 7 km del centro;El Ibis Madrid Calle Alcalá se encuentra a 6 km del centro de la ciudad de Madrid y ofrece habitaciones minimalistas modernas con TV plasma y aire acondicionado. La recepción abre las 24 horas.
Ibis Madrid Aeropuerto Barajas;Hotel;2 de 5;Barajas;Madrid;a 12 km del centro;;El Ibis Aeropuerto Barajas está situado a 1 km del aeropuerto de Madrid-Barajas y el centro de exposiciones IFEMA, y alberga una cafetería 24 horas.
NH Madrid Ventas;Hotel;4 de 5;Salamanca;Madrid;a 3,9 km del centro;;El NH Madrid Ventas es moderno y está situado a 300 metros de la plaza de toros de Madrid y de la estación de metro Ventas. Ofrece una piscina exterior de temporada ubicada entre jardines.
AYZ Villegas - Auto check-in property;Hotel;0 de 5;Hortaleza;Madrid;a 7,1 km del centro;;AYZ Villegas - Auto check-in property se encuentra en Madrid, a 3,8 km de IFEMA, y ofrece habitaciones con aire acondicionado y wifi gratis, y servicio de check-in y check-out exprés.
Hotel Moderno Puerta del Sol;Hotel;3 de 5;Centro de Madrid;Madrid;a 150 m del centro;;Este hotel se encuentra en el centro de Madrid, junto a la plaza Puerta del Sol. La plaza Mayor queda a 150 metros. Las habitaciones cuentan con aire acondicionado, TV vía satélite y wifi gratuita.
ITC Mora by Soho Boutique;Hotel;2 de 5;Centro de Madrid;Madrid;a 1,1 km del centro;;El ITC Mora by Soho Boutique está situado en el Paseo del Prado de Madrid, a 400 metros del Museo Reina Sofía y de la estación de trenes de Atocha.
Oriente Palace Apartments;Hotel;4 de 5;Centro de Madrid;Madrid;a 0,7 km del centro;;El Oriente Palace se encuentra en el centro de Madrid, a solo 1 minuto a pie del Palacio Real y a 400 metros de la plaza Mayor, y ofrece apartamentos y habitaciones con WiFi gratuita.
Sterling;Hotel;3 de 5;Centro de Madrid;Madrid;a 0,8 km del centro;;El Sterling goza de una ubicación privilegiada y céntrica en Madrid, junto a la Gran Vía y a 200 metros de la estación de metro de Santo Domingo.
Dear Hotel Madrid;Hotel;4 de 5;Centro de Madrid;Madrid;a 0,9 km del centro;;El Dear Hotel Madrid es un establecimiento boutique situado en el centro de Madrid, en la Gran Vía, a 1 minuto a pie de la estación de metro Plaza de España.
Leonardo Hotel Madrid City Center;Hotel;3 de 5;Chamberí;Madrid;a 1,5 km del centro;;El Leonardo Hotel Madrid City Center goza de una ubicación tranquila en el barrio madrileño de Chamberí, a 200 metros de la estación de metro San Bernardo.
Hotel Julia;Hotel;2 de 5;San Blas;Madrid;a 6,3 km del centro;;Este hotel ofrece servicios excelentes, como wifi gratuita en las habitaciones y zonas comunes.
Ilunion Pio XII;Hotel;4 de 5;Chamartín;Madrid;a 6,3 km del centro;;Este hotel de diseño ofrece carta de almohadas y WiFi gratuita. El establecimiento se encuentra junto a una parada de autobús que comunica directamente con la Puerta del Sol y a 10 minutos en coche...
NH Madrid Ribera del Manzanares;Hotel;4 de 5;Arganzuela;Madrid;a 1,9 km del centro;;El NH Madrid Ribera del Manzanares es un hotel moderno situado en Madrid, a solo 300 metros del estadio Vicente Calderón. Dispone de habitaciones elegantes con aire acondicionado y WiFi gratuita.
Zleep Madrid Airport;Hotel;3 de 5;San Blas;Madrid;a 13,5 km del centro;;Zleep Madrid Airport está en Madrid, a 10 km de IFEMA, y dispone de servicio de conserjería, habitaciones libres de humo, centro de fitness, wifi gratis y bar.
Melia Avenida de America;Hotel;4 de 5;San Blas;Madrid;a 7,2 km del centro;;Este establecimiento se encuentra junto a la autopista A2, a 15 minutos en coche del centro de Madrid.
Crowne Plaza Madrid - Centre Retiro by IHG;Hotel;4 de 5;Retiro;Madrid;a 2,9 km del centro;;Crowne Plaza Madrid - Centre Retiro by IHG se encuentra en Madrid, a 2,8 km de Museo Reina Sofía, y ofrece alojamiento con jardín, parking privado, terraza y restaurante.
Exe Convention Plaza Madrid;Hotel;4 de 5;Fuencarral - El Pardo;Madrid;a 11,1 km del centro;;El hotel de diseño Exe Convention Plaza Madrid se encuentra a 4,5 km del paseo de la Castellana. Ofrece gimnasio y wifi gratuita.
Petit Palace President Castellana;Hotel;4 de 5;Salamanca;Madrid;a 1,9 km del centro;;Este alojamiento se encuentra en el barrio de Salamanca en Madrid, a 50 metros del Paseo de la Castellana. Ofrece habitaciones luminosas y elegantes y conexión WiFi gratuita.
Novotel Madrid Center;Hotel;4 de 5;Salamanca;Madrid;a 2,7 km del centro;;El Novotel Madrid Center está situado en el madrileño barrio de Salamanca, a 200 metros de la línea de autobús que conecta con el aeropuerto las 24 horas.
Sercotel Gran Hotel Conde Duque;Hotel;4 de 5;Chamberí;Madrid;a 1,6 km del centro;;El Sercotel Gran Hotel Conde Duque se encuentra en el centro de Madrid.
Smartr Madrid Gran Via 47;Hotel;3 de 5;Centro de Madrid;Madrid;a 0,6 km del centro;;Smartr Madrid Gran Via 47 está en el centro de Madrid, a pocos pasos de Gran Vía y a 7 min a pie de Estación de metro Gran Vía, y ofrece alojamiento con wifi gratis y zona de estar.
Senator Barajas;Hotel;4 de 5;Barajas;Madrid;a 11,3 km del centro;;El Senator Barajas se halla a 5 minutos en coche del aeropuerto de Barajas. Cuenta con piscina de temporada al aire libre, varios restaurantes y habitaciones con balcón.
Avani Alonso Martinez Madrid hotel;Hotel;4 de 5;Chamberí;Madrid;a 1,5 km del centro;;Este hotel encantador está situado en el distrito comercial de Madrid, cerca del Paseo de la Castellana y de la plaza de Colón. Ofrece habitaciones amplias, WiFi gratuita y desayuno.
Petit Palace Tres Cruces;Hotel;3 de 5;Centro de Madrid;Madrid;a 250 m del centro;;El Petit Palace Tres Cruces es un hotel boutique situado a menos de 50 metros de la Gran Vía de Madrid.
Smartr Madrid Las Ventas;Hotel;3 de 5;Ciudad Lineal;Madrid;a 4,5 km del centro;;Smartr Madrid Las Ventas está a 4,6 km de Museo Thyssen-Bornemisza, en Madrid, y ofrece alojamiento con aire acondicionado y wifi gratis.
Motel One Madrid-Plaza de España;Hotel;4 de 5;Moncloa - Aravaca;Madrid;a 1,3 km del centro;;El moderno Motel One Madrid-Plaza de España se encuentra en el centro de Madrid, a solo 250 metros de la plaza de España y a 500 metros de la Gran Vía y sus teatros.
Eurostars Central;Hotel;4 de 5;Centro de Madrid;Madrid;a 1,2 km del centro;;El moderno Eurostars Central está situado en el centro de Madrid, a 250 metros de la estación de metro de Tribunal, y cuenta con un centro de fitness y un bar.
Ilunion Alcalá Norte;Hotel;4 de 5;San Blas;Madrid;a 7,3 km del centro;;El Ilunion Alcalá Norte es un hotel elegante situado en la zona norte de Madrid, a menos de 10 minutos en coche del Centro de Conferencias IFEMA y del aeropuerto Adolfo Suárez Madrid-Barajas.
Hotel Life Gran Via Design;Hotel;3 de 5;Centro de Madrid;Madrid;a 0,8 km del centro;;El Hotel Life Gran Via Design está situado en el centro de Madrid, a solo 350 metros de las estaciones de metro Gran Vía, Tribunal y Noviciado. Hay WiFi gratuita en todas las instalaciones.
Quatro Puerta del Sol;Hotel;4 de 5;Centro de Madrid;Madrid;a 300 m del centro;;El Quatro Puerta del Sol está a 200 metros de la Puerta del Sol de Madrid y a 500 metros del Museo Thyssen Bornemisza y del Museo del Prado. Ofrece habitaciones con TV vía satélite y WiFi gratuita.
Eco Via Lusitana;Hotel;3 de 5;Carabanchel;Madrid;a 5,9 km del centro;;Este hotel, moderno y elegante, está situado en la zona residencial de Carabanchel Alto, a 6 km del centro histórico de Madrid.
Catalonia Atocha;Hotel;4 de 5;Centro de Madrid;Madrid;a 0,7 km del centro;;Este hotel elegante ofrece terraza amueblada en la azotea con piscina pequeña de temporada, bar y magníficas vistas a Madrid.
Hotel Acta Madfor;Hotel;3 de 5;Moncloa - Aravaca;Madrid;a 1,6 km del centro;;El Hotel Acta Madfor está situado en el Paseo de la Florida, a pocos metros de la estación de metro Príncipe Pío.
Madrisol;Hotel;2 de 5;Centro de Madrid;Madrid;a 200 m del centro;;El Madrisol Hotel está situado en el centro histórico de Madrid, a 150 metros de la Puerta del Sol. Todas las habitaciones del hotel son exteriores y cuentan con conexión Wi-Fi gratuita.
Gran Central Suites;Hotel;3 de 5;Centro de Madrid;Madrid;a 0,9 km del centro;;Gran Central Suites se encuentra en el centro de Madrid, a 5 min a pie de Gran Vía y a 800 metros de Estación de metro Gran Vía, y ofrece alojamiento con wifi gratis y zona de estar.
Agora Juan de Austria;Hotel;4 de 5;Chamberí;Madrid;a 1,7 km del centro;;Este elegante hotel está situado en el histórico barrio de Chamberí, en Madrid, y ofrece conexión WiFi gratuita. El diseño del hotel se inspira en la figura de Don Juan de Austria.
Hotel Sardinero Madrid;Hotel;4 de 5;Chamberí;Madrid;a 1,4 km del centro;;El Hotel Sardinero Madrid se encuentra en un edificio histórico con encanto de Madrid, ubicado en la céntrica plaza Alonso Martínez.
Ibis Styles Madrid Prado;Hotel;3 de 5;Centro de Madrid;Madrid;a 450 m del centro;;El Ibis Styles Madrid Prado se encuentra en el Triángulo del Arte de Madrid, a solo 500 metros de la Puerta del Sol y a 300 metros de la estación de metro de Antón Martín.
Sercotel Togumar;Hotel;3 de 5;Chamartín;Madrid;a 4 km del centro;;El Sercotel Togumar se encuentra a 2 minutos a pie de la estación de metro Prosperidad, a 750 metros del Auditorio Nacional y a 15 minutos a pie del estadio de fútbol Santiago Bernabéu.
Emperador;Hotel;4 de 5;Centro de Madrid;Madrid;a 0,7 km del centro;;El Emperador está ubicado en pleno centro de Madrid, junto a la Gran Vía. Este hotel elegante tiene piscina de temporada en la azotea y terraza con vistas fantásticas a la ciudad.
Hotel Best Osuna;Hotel;4 de 5;Hortaleza;Madrid;a 8,6 km del centro;;El Hotel Best Osuna está situado en unos bonitos jardines, a 5 minutos en coche del centro de exposiciones IFEMA de Madrid y a 8 minutos en coche del aeropuerto de Barajas, y cuenta con piscina...
Hotel Maydrit Airport;Hotel;4 de 5;Barajas;Madrid;a 10,1 km del centro;;El Hotel Maydrit Airport está ubicado en Madrid, a 200 metros de la estación de metro El Capricho, y ofrece un servicio gratuito de traslado al aeropuerto de Barajas.
Catalonia Goya;Hotel;4 de 5;Salamanca;Madrid;a 2 km del centro;;El Catalonia Goya ocupa un edificio del siglo XIX situado junto a la estación de metro Velázquez, en la zona comercial más exclusiva de Madrid.
II Castillas Madrid;Hotel;3 de 5;Centro de Madrid;Madrid;a 300 m del centro;;El Hotel II Castillas está muy bien situado en el centro de Madrid, a tan solo 300 metros del barrio de la Puerta del Sol.
Novotel Campo De Las Naciones;Hotel;4 de 5;Barajas;Madrid;a 9 km del centro;;Este hotel se encuentra junto a IFEMA, al parque Juan Carlos I y al Palacio de Congresos. Ofrece wifi gratuita. El Novotel Campo de Naciones cuenta con piscina al aire libre, terraza y gimnasio.
Hotel Atlántico;Hotel;4 de 5;Centro de Madrid;Madrid;a 400 m del centro;;El Hotel Atlántico está situado en la Gran Vía de Madrid, junto a la estación de metro de Callao y a solo 500 metros de la Puerta del Sol, y dispone de habitaciones con aire acondicionado y WiFi...
Dormirdcine;Hotel;4 de 5;Salamanca;Madrid;a 3 km del centro;;El Dormirdcine ofrece habitaciones inspiradas en el cine en el elegante barrio de Salamanca de Madrid, a 400 metros de la estación de metro Diego de León.
LUTHIA Puerta del Sol;Hotel;0 de 5;Centro de Madrid;Madrid;a 100 m del centro;;LUTHIA Puerta del Sol está muy bien situado en el barrio de Centro de Madrid, Madrid, a 9 min a pie de Gran Vía, a 900 metros de Museo Thyssen-Bornemisza y a 12 min a pie de Estación de metro Plaza de...
Claridge Madrid;Hotel;4 de 5;Retiro;Madrid;a 3,1 km del centro;;El Claridge es un hotel elegante ubicado en la céntrica plaza Conde de Casal de Madrid, cerca de la estación de metro Conde de Casal y a 10 minutos a pie del parque del Retiro.
INNSiDE by Meliá Madrid Valdebebas;Hotel;4 de 5;Hortaleza;Madrid;a 11,7 km del centro;;INNSiDE by Meliá Madrid Valdebebas tiene bicicletas gratis, piscina de temporada al aire libre, centro de fitness y jardín en Madrid.
Ikonik Gran Vía;Hotel;4 de 5;Centro de Madrid;Madrid;a 0,6 km del centro;;Ikonik Gran Vía es un alojamiento bien ubicado en el centro de Madrid que ofrece desayuno buffet y wifi gratis en todo el alojamiento.
Pension Dominguez;Hotel;1 de 5;Centro de Madrid;Madrid;a 0,9 km del centro;;Pension Dominguez está muy bien situado en el barrio de Centro de Madrid, Madrid, a 11 min a pie de Gran Vía, a 1,3 km de Museo Thyssen-Bornemisza y a 2,7 km de Parque de El Retiro.
